"property_type","size_sqft","parking","elevator","floor","price_bdt","service_charge_bdt","year_built","building_registration_type","preferred_tenant","furnished","garage_size_sqft","front_road_size_ft","common_area_size_sqft","bedrooms","bathrooms","location","country"
"Residential Apartment","1800","1","1",NA,"100000","8000",2014,"Residential","Family","Un-Furnished","120","15","650","3","3","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","1800","1","2","10","22000000",NA,2018,"Residential",NA,"Un-Furnished","120","15","250","3","3","Banani","Bangladesh"
"Commercial Space","2200","1","1","2","160000","10000",2016,"Residential","Corporate Office or Small Office","Furnished","150","20","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3000","1","2","2","120000",NA,2018,"Residential",NA,"Un-Furnished","120","12","750","3","4","Gulshan","Bangladesh"
"Residential Apartment","2600","1","1","3","41000000",NA,2008,"Residential",NA,"Un-Furnished","120","15","350","4","4","Gulshan","Bangladesh"
"Residential Apartment","2500","1","2",NA,"120000","7000",2016,"Residential","Family","Furnished","150","15","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","4000","2","2","11","100000000",NA,2019,"Residential",NA,"Furnished","240","40","750","4","5","Gulshan","Bangladesh"
"Residential Apartment","3700","2","2","8","400000","20000",2020,"Residential","Foreigner","Furnished","240","40","550","4","4","Gulshan","Bangladesh"
"Residential Apartment","3200","2","2","5","320000",NA,2022,"Residential",NA,"Un-Furnished","240","25","750","4","4","Gulshan","Bangladesh"
"Residential Apartment","2250","1","2","4","190000","0",2020,"Residential","Family","Furnished","150","50","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","3700","2","2","4","200000",NA,2017,"Residential",NA,"Furnished","300","40","750","4","4","Gulshan","Bangladesh"
"Residential Apartment","3400","2","2","1","45000000",NA,2016,"Residential",NA,"Un-Furnished","240","40","750","4","5","Gulshan","Bangladesh"
"Residential Apartment","2250","1","2","1","195000","0",2020,"Residential","Family","Furnished","150","50","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","4000","2","2","1","250000",NA,2021,"Residential",NA,"Un-Furnished","300","40","750","4","5","Gulshan","Bangladesh"
"Residential Apartment","4500","2","2","10","220000",NA,2018,"Residential",NA,"Furnished","300","40","750","4","4","Gulshan","Bangladesh"
"Residential Apartment","6000","2","2","12 & 13","500000",NA,2020,"Residential",NA,"Furnished","300","40","750","3","4","Gulshan","Bangladesh"
"Residential Apartment","3895","2","2","11","92400000",NA,2021,"Residential",NA,"Un-Furnished","300","40","750","4","5","Gulshan","Bangladesh"
"Residential Apartment","4200","2","2","2","225000",NA,2017,"Residential",NA,"Un-Furnished","300","40","750","4","5","Gulshan","Bangladesh"
"Residential Apartment","2000","1","2","1","100000","10000",2019,"Residential",NA,"Un-Furnished","150","40","250","3","3","Gulshan","Bangladesh"
"Commercial Space","3000","1","2","6","180000",NA,2016,"Residential","Corporate Office or Small Office","Un-Furnished","150","20","150",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2500","2","2","3","120000",NA,2017,"Residential",NA,"Un-Furnished","150","40","250","4","3","Gulshan","Bangladesh"
"Residential Apartment","2400","2","2","2","100000",NA,2017,"Residential",NA,"Semi-Furnished","150","20","250","3","3","Gulshan","Bangladesh"
"Residential Apartment","3200","2","2","1 & 2","54000000",NA,2021,"Residential",NA,"Un-Furnished","300","15","450","4","4","Gulshan","Bangladesh"
"Residential Apartment","3200","2","2","4","55000000",NA,2021,"Residential",NA,"Un-Furnished","300","15","450","4","4","Gulshan","Bangladesh"
"Residential Apartment","5100","2","2","12","120000000",NA,2021,"Residential",NA,"Un-Furnished","300","40","750","5","6","Gulshan","Bangladesh"
"Residential Apartment","4300","2","2",NA,"350000","32000",2021,"Residential","Family","Un-Furnished","300","15","650","3","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","3360","2","2","8","180000",NA,2021,"Residential",NA,"Un-Furnished","350","40","750","4","4","Gulshan","Bangladesh"
"Residential Apartment","5200","2","2","5","100000000",NA,2016,"Residential",NA,"Semi-Furnished","300","15","550","4","5","Gulshan","Bangladesh"
"Residential Apartment","5100","2","2","11","120000000",NA,2021,"Residential",NA,"Un-Furnished","300","40","750","5","6","Gulshan","Bangladesh"
"Residential Apartment","3600","2","2","8","230000","20000",2020,"Residential","Foreigner","Semi-Furnished","350","40","550","4","4","Gulshan","Bangladesh"
"Residential Apartment","2400","1","2",NA,"150000","14000",2021,"Residential","Family","Un-Furnished","150","30","350","3","3","Banani","Bangladesh"
"Residential Apartment","3060","2","2","5","62000000",NA,2021,"Residential",NA,"Un-Furnished","350","40","750","4","4","Gulshan","Bangladesh"
"Residential Apartment","1650","1","2",NA,"100000","14000",2021,"Residential","Family","Un-Furnished","150","30","350","3","3","Banani","Bangladesh"
"Residential Apartment","4471","2","2","3","125000000",NA,2020,"Residential",NA,"Un-Furnished","350","40","750","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","3030","2","2","1","52000000",NA,2009,"Residential",NA,"Un-Furnished","300","15","350","4","5","Gulshan","Bangladesh"
"Residential Apartment","5050","2","1","5","90000000",NA,2021,"Residential",NA,"Un-Furnished","350","40","750","4","5","Gulshan","Bangladesh"
"Residential Apartment","1550","1","2",NA,"100000","7000",2014,"Residential","Family","Furnished","150","25","150","3","3","Banani","Bangladesh"
"Commercial Space","4380","2","3","4, 5, 6, 7 & 8","657000",NA,2021,"Commercial","Corporate Office or MNC Office","Un-Furnished","450","60","550",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","60000","45","2","Iividu&l House","4500000",NA,2022,"Residential","Foreigner","Un-Furnished","5400","40","5500",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","3500","3","2","5","230000","25000",2020,"Residential","Foreigner","Un-Furnished","360","24","250","4","4","Gulshan","Bangladesh"
"Residential Apartment","1000",NA,"1","6","100000",NA,2008,"Residential","Foreigner","Furnished",NA,"24","80","1","1","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","1800","1","2","6","125000",NA,2015,"Residential","Foreigner","Furnished","120","16","120","3","3","Gulshan","Bangladesh"
"Residential Apartment","3000","1","1","2","130000","5000",2008,"Residential","Foreigner","Furnished","120","24","220","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","4200","2","2","3, 4 & 5","220000","20000",2020,"Residential","Foreigner","Semi-Furnished","350","40","750","4","5","Gulshan","Bangladesh"
"Commercial Space","3200","1","1","4","320000","32000",2017,"Commercial","Corporate Office or Small Office","Semi-Furnished","150","40","350",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2400","1","2","3","100000","10000",2015,"Residential","Foreigner","Semi-Furnished","150","40","750","3","3","Gulshan","Bangladesh"
"Commercial Space","3285","2","2","5","395000","49275",2018,"Commercial","Corporate Office or Small Office","Semi-Furnished","150","40","350",NA,NA,"Banani","Bangladesh"
"Commercial Space","3512","1","3","9","422000","45656",2018,"Commercial","Corporate Office or Small Office","Un-Furnished","150","40","350",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2500","1","2","9","120000","12000",2021,"Residential","Foreigner","Un-Furnished","150","40","550","3","4","Gulshan","Bangladesh"
"Residential Apartment","2500","1","2","9","120000","12000",2021,"Residential","Foreigner","Un-Furnished","150","40","550","3","4","Gulshan","Bangladesh"
"Commercial Space","2500","1","2","6","313000","37500",2020,"Commercial","Corporate Office or MNC Office","Un-Furnished","150","40","250",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","4500","3","2","5","495000","45000",2017,"Commercial","Corporate Office or MNC Office","Un-Furnished","450","60","550",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","3000","2","2","5, 6, 7 & 8","320000","30000",2013,"Commercial","Corporate Office or Small Office","Un-Furnished","150","40","350",NA,NA,"Banani","Bangladesh"
"Commercial Space","2200","1","2","5 & 11","286000","26400",2021,"Commercial","Corporate Office or Small Office","Un-Furnished","150","40","350",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2850","1","2",NA,"220000","0",2014,"Residential","Family","Furnished","350","25","150","2","3","Banani","Bangladesh"
"Residential Apartment","2400","1","2",NA,"115000","10000",2014,"Residential","Family","Furnished","350","25","150","3","3","Banani","Bangladesh"
"Residential Apartment","4500","2","2","7","350000","25000",2020,"Residential","Foreigner","Semi-Furnished","350","40","550","4","4","Gulshan","Bangladesh"
"Commercial Space","2700","1","2","5","378000","32400",2020,"Commercial","Corporate Office or Small Office","Un-Furnished","150","40","350",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3500","2","2","12","250000","15000",2020,"Residential","Foreigner","Un-Furnished","350","40","550","4","4","Gulshan","Bangladesh"
"Residential Apartment","3000","2","2","4","150000","12000",2012,"Residential","Family","Un-Furnished","150","40","250","4","5","Gulshan","Bangladesh"
"Commercial Space","3900","1","3","5","468000","37500",2015,"Commercial","Corporate Office or Small Office","Furnished","150","40","250",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","3800","2","2","4","210000","15000",2017,"Residential","Family","Furnished","350","50","150","4","5","Gulshan","Bangladesh"
"Commercial Space","4000","2","3","4","500000","48000",2021,"Commercial","Corporate Office or MNC Office","Un-Furnished","150","40","250",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","3500","2","2","4","250000","25000",2020,"Residential","Family","Furnished","350","50","650","3","3","Gulshan","Bangladesh"
"Residential Apartment","2400","1","2","3","115000","12000",2012,"Residential","Family","Un-Furnished","150","40","250","3","3","Gulshan","Bangladesh"
"Residential Apartment","2400","1","1","2","110000","13000",2013,"Residential","Family","Furnished","150","50","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","2250","1","2","11","190000","0",2020,"Residential","Family","Furnished","150","50","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","3950","2","2","5","320000","15000",2021,"Residential","Family","Semi-Furnished","350","40","250","4","4","Gulshan","Bangladesh"
"Residential Apartment","2200","1","1","2","112000","13000",2014,"Residential","Family","Semi-Furnished","150","50","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","2000","1","2",NA,"100000","10000",2012,"Residential","Family","Un-Furnished","150","15","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","2500","2","2","4","180000","12000",2021,"Residential","Family","Semi-Furnished","350","40","250","3","3","Gulshan","Bangladesh"
"Residential Apartment","3700","2","1",NA,"240000","25000",2017,"Residential","Family","Un-Furnished","150","15","150","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","7500","1","1","4","525000",NA,2014,"Residential","Corporate Office or Small Office","Un-Furnished","150","20","150",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","1650","1","2",NA,"110000","7000",2012,"Residential","Family","Semi-Furnished","150","15","150","3","3","Gulshan","Bangladesh"
"Commercial Space","3375","1","2","3","405000","33750",2017,"Commercial","Corporate Office or Small Office","Un-Furnished","150","40","250",NA,NA,"Banani","Bangladesh"
"Residential Apartment","4500","2","2","1","220000","0",2018,"Residential","Family","Semi-Furnished","350","20","450","5","5","Gulshan","Bangladesh"
"Residential Apartment","2700","1","1",NA,"160000","12000",2017,"Residential","Family","Un-Furnished","150","20","350","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","2750","2","2","6","100000","15000",2015,"Residential","Family","Un-Furnished","350","20","650","4","4","Gulshan","Bangladesh"
"Commercial Space","2100","1","1","4","100000","10000",2017,"Residential","Corporate Office or Small Office","Un-Furnished","150","20","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2415","1","2","1","100000","15000",2016,"Residential","Family","Un-Furnished","150","20","650","3","3","Gulshan","Bangladesh"
"Residential Apartment","2800","2","3","3","135000","10000",2016,"Residential","Family","Furnished","350","50","550","4","4","Gulshan","Bangladesh"
"Commercial Space","1900","1","1","5","100000","8000",2017,"Residential","Corporate Office or Small Office","Un-Furnished","150","20","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2400","1","1",NA,"100000","18000",2015,"Residential","Family","Un-Furnished","150","20","250","3","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","2500","2","2",NA,"130000","10000",2014,"Residential","Family","Furnished","350","25","150","3","3","Banani","Bangladesh"
"Residential Apartment","2800","1","1",NA,"100000","7000",2012,"Residential","Family","Un-Furnished","150","20","250","3","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","3715","2","2","4 & 6","220000","15000",2016,"Residential","Family","Un-Furnished","350","20","650","4","4","Gulshan","Bangladesh"
"Commercial Space","1400","1","1","4 ","120000",NA,2010,"Residential","Corporate Office or Small Office","Furnished","150","20","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2250","1","2","11","185000","15000",2020,"Residential","Family","Furnished","150","50","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","2400","2","2",NA,"120000","12000",2021,"Residential","Family","Un-Furnished","350","15","350","3","3","Banani","Bangladesh"
"Residential Apartment","2650","1","2",NA,"110000","10000",2019,"Residential","Family","Un-Furnished","150","15","350","4","5","Banani","Bangladesh"
"Residential Apartment","3500","2","2",NA,"340000","0",2017,"Residential","Family","Furnished","350","15","150","4","5","Gulshan","Bangladesh"
"Residential Apartment","2500","2","1",NA,"105000","12000",2014,"Residential","Family","Un-Furnished","150","15","200","3","3","Banani","Bangladesh"
"Residential Apartment","1700","1","1","4","110000","10000",2010,"Residential","Family","Furnished","150","50","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","2000","1","2","2","100000","10000",2010,"Residential","Family","Semi-Furnished","150","20","350","3","3","Gulshan","Bangladesh"
"Residential Apartment","4600","2","2",NA,"300000","25000",2020,"Residential","Family","Furnished","350","15","750","4","5","Gulshan","Bangladesh"
"Residential Apartment","1900","1","2",NA,"100000",NA,2014,"Residential","Family","Un-Furnished","150","15","200","3","4","Banani","Bangladesh"
"Residential Apartment","4500","2","2","1 & 2","250000",NA,2018,"Residential","Family","Semi-Furnished","350","20","450","5","5","Gulshan","Bangladesh"
"Residential Apartment","2500","1","2","2","100000","10000",2010,"Residential","Family","Semi-Furnished","150","20","350","3","3","Gulshan","Bangladesh"
"Commercial Space","1600","1","1","1 ","100000",NA,2010,"Residential","Corporate Office or Small Office","Un-Furnished","150","20","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2700","1","1","3","120000","7000",2002,"Residential","Family","Furnished","150","40","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","2200","2","2",NA,"90000","10000",2019,"Residential","Family","Un-Furnished","350","15","200","4","4","Banani","Bangladesh"
"Residential Apartment","5000","1","1",NA,"350000","0",2014,"Residential","Family","Furnished","150","15","150","5","6","Gulshan","Bangladesh"
"Residential Apartment","2300","1","1",NA,"105000","10000",2017,"Residential","Family","Furnished","150","15","200","3","3","Banani","Bangladesh"
"Residential Apartment","3200","2","2","1, 5 & 7","350000",NA,2021,"Residential","Family","Un-Furnished","350","20","350","4","4","Gulshan","Bangladesh"
"Commercial Space","2500","1","1","6 ","150000","10000",2017,"Residential","Corporate Office or Small Office","Un-Furnished","150","20","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2400","1","1",NA,"85000","10000",2018,"Residential","Family","Un-Furnished","150","15","200","3","4","Banani","Bangladesh"
"Residential Apartment","2000","1","1","3","70000","8000",2015,"Residential","Family","Semi-Furnished","150","40","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","2400","1","1",NA,"90000","10000",2017,"Residential","Family","Furnished","150","15","200","3","3","Banani","Bangladesh"
"Residential Apartment","2250","1","1",NA,"75000","7000",2015,"Residential","Family","Un-Furnished","150","15","200","3","3","Banani","Bangladesh"
"Residential Apartment","2100","1","1",NA,"100000","9000",2017,"Residential","Family","Un-Furnished","150","15","200","3","4","Banani","Bangladesh"
"Commercial Space","2600","1","1","2 ","150000","10000",2016,"Residential","Corporate Office or Small Office","Un-Furnished","150","20","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","1800","1","1",NA,"100000","10000",2018,"Residential","Family","Un-Furnished","150","15","200","3","3","Banani","Bangladesh"
"Residential Apartment","3500","2","1",NA,"90000","12000",2012,"Residential","Family","Un-Furnished","350","15","250","4","4","Banani","Bangladesh"
"Commercial Space","2200","1","1","7 ","110000",NA,2017,"Residential","Corporate Office or Small Office","Un-Furnished","150","20","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","1850","1","1",NA,"100000","8000",2019,"Residential","Family","Un-Furnished","150","15","150","3","3","Banani","Bangladesh"
"Commercial Space","1650","1","1","2","100000",NA,2008,"Residential","Corporate Office or Small Office","Un-Furnished","150","20","100",NA,NA,"Banani","Bangladesh"
"Residential Apartment","1600","3","1",NA,"100000","6000",2009,"Residential","Family","Un-Furnished","150","15","150","2","3","Banani","Bangladesh"
"Residential Apartment","2700","1","2",NA,"100000","8000",2011,"Residential","Family","Furnished","150","25","150","3","4","Banani","Bangladesh"
"Commercial Space","2450","1","1","2 ","120000","10000",2013,"Residential","Corporate Office or Small Office","Un-Furnished","150","20","150",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2600","1","1","5","110000","7000",2015,"Residential","Family","Furnished","150","40","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","16800","9","1",NA,"1400000",NA,2021,"Residential","Family","Un-Furnished","1050","20","550","21","21","Baridhara Diplomatic Zone","Bangladesh"
"Commercial Space","9000","5",NA,NA,"800000",NA,2010,"Residential","Family","Un-Furnished","750","15","350","8","5","Banani","Bangladesh"
"Residential Apartment","5400","2","2","8","250000","20000",2019,"Residential","Family","Un-Furnished","350","40","450","4","4","Gulshan","Bangladesh"
"Residential Apartment","3000","2","2","3","200000","20000",2016,"Residential","Family","Un-Furnished","350","40","450","4","4","Gulshan","Bangladesh"
"Commercial Space","2000","1","1","6","200000",NA,2017,"Residential & Commercial","Corporate Office or Small Office","Un-Furnished","150","40","250",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2500","2","2","4","175000","12000",2021,"Residential","Family","Un-Furnished","350","40","250","3","3","Gulshan","Bangladesh"
"Commercial Space","5600","2","3","12","840000",NA,2017,"Residential","Corporate Office or MNC Office","Un-Furnished","350","20","550",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","3500","1","2","2","220000","0",2016,"Residential","Family","Un-Furnished","150","40","450","3","4","Gulshan","Bangladesh"
"Residential Apartment","3900","2","2","9","250000",NA,2021,"Residential","Family","Un-Furnished","350","40","550","4","4","Gulshan","Bangladesh"
"Commercial Space","2850","2","2","0","1567500",NA,2021,"Commercial","Retail Brands & Foreign Franchise","Un-Furnished","150","60","650",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","3100","2","2","5","135000","10000",2016,"Residential","Family","Un-Furnished","350","40","450","4","4","Gulshan","Bangladesh"
"Commercial Space","914","1","2","2","250000",NA,2017,"Commercial","Restaurant","Un-Furnished","150","60","150",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","4000","2","1",NA,"375000","25000",2020,"Residential","Family","Un-Furnished","300","20","550","4","5","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","4500","2","2","6","420000","0",2017,"Residential","Family","Un-Furnished","350","40","450","4","5","Gulshan","Bangladesh"
"Commercial Space","3500","2","2","14","600000",NA,2021,"Commercial","Restaurant","Un-Furnished","350","60","150",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2750","1","1",NA,"110000","8000",2021,"Residential","Family","Un-Furnished","150","15","350","3","3","Banani","Bangladesh"
"Commercial Space","3700","1","1","5","200000",NA,2014,"Residential & Commercial","Corporate Office or Small Office","Un-Furnished","150","40","450",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2200","1","1",NA,"100000","8000",2017,"Residential","Family","Un-Furnished","150","15","250","3","3","Banani","Bangladesh"
"Commercial Space","9000","4",NA,"2 & 3","500000",NA,2014,"Residential & Commercial","Corporate Office or Small Office","Un-Furnished","150","40","450",NA,NA,"Banani","Bangladesh"
"Residential Apartment","3500","2","2",NA,"225000","15000",2010,"Residential","Family","Un-Furnished","300","20","550","4","4","Gulshan","Bangladesh"
"Commercial Space","2800","1","1","2","200000",NA,2018,"Residential & Commercial","Corporate Office or Small Office","Un-Furnished","150","40","350",NA,NA,"Banani","Bangladesh"
"Commercial Space","5000","2","3","21","1100000",NA,2021,"Commercial","Restaurant","Un-Furnished","350","60","750",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","2600","1","2","4","210000",NA,2017,"Residential & Commercial","Corporate Office","Furnished","350","40","350",NA,NA,"Banani","Bangladesh"
"Commercial Space","4400","2","2","4","968000",NA,2021,"Commercial","Restaurant","Un-Furnished","350","60","150",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","2200","1","2","3","100000","10000",2016,"Residential","Family","Furnished","150","40","150","3","3","Gulshan","Bangladesh"
"Commercial Space","2600","1","1","2","170000",NA,2017,"Residential & Commercial","Corporate Office or Small Office","Un-Furnished","150","40","350",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2700","1","2","5","110000","0",2018,"Residential","Family","Furnished","150","40","150","3","3","Gulshan","Bangladesh"
"Commercial Space","5050","3","3","17","606000",NA,2016,"Commercial","Corporate Office","Furnished","450","60","550",NA,NA,"Banani","Bangladesh"
"Commercial Space","2700","1","2","3","220000",NA,2017,"Residential & Commercial","Corporate Office","Furnished","350","40","350",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2400","1","1","6","105000","8000",2016,"Residential","Family","Furnished","150","50","150","3","3","Gulshan","Bangladesh"
"Commercial Space","6500","1","1","4, 5, 6 & 7","715000",NA,2020,"Residential","Corporate Office","Un-Furnished","150","20","150",NA,NA,"Gulshan","Bangladesh"
"Commercial Space","4200","1","1","2","250000",NA,2014,"Residential","Corporate Office or Small Office","Un-Furnished","150","60","150",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","4000","2","3","4","550000","30000",2018,"Residential","Family","Un-Furnished","350","40","150","4","4","Gulshan","Bangladesh"
"Residential Apartment","3700","2","2",NA,"325000","25000",2019,"Residential","Family","Un-Furnished","300","20","550","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","2700","1","1","6","135000","12000",2017,"Residential","Family","Furnished","150","50","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","3500","1","1","1, 2, 3, 4, 5 & 6","260000","0",2021,"Residential","Family","Furnished","150","50","150","4","4","Gulshan","Bangladesh"
"Residential Apartment","4000","2","2","7","350000","0",2019,"Residential","Family","Furnished","350","40","150","3","4","Gulshan","Bangladesh"
"Commercial Space","3500","1","1","4, 5 & 6","220000",NA,2021,"Residential","Corporate Office or Small Office","Un-Furnished","150","20","150",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","500","1","1","5","70000","5000",2013,"Residential","Family","Furnished","150","40","150","1","1","Gulshan","Bangladesh"
"Residential Apartment","2300","1","2","8","70000","8000",2012,"Residential","Family","Un-Furnished","150","60","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","2600","1","2","5","120000","10000",2018,"Residential","Family","Un-Furnished","150","40","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","5350","2","2","7","400000","25000",2017,"Residential","Family","Un-Furnished","150","40","150","4","4","Gulshan","Bangladesh"
"Residential Apartment","3400","1","1",NA,"170000","20000",2014,"Residential","Family","Furnished","150","15","150","4","4","Gulshan","Bangladesh"
"Residential Apartment","2700","1","2","4","80000","10000",2018,"Residential","Family","Un-Furnished","150","60","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","6500","2","2","2","450000","30000",2017,"Residential","Family","Un-Furnished","150","40","150","5","5","Gulshan","Bangladesh"
"Residential Apartment","3600","2","1","6","210000","15000",2016,"Residential","Family","Furnished","350","50","150","4","4","Gulshan","Bangladesh"
"Residential Apartment","4471","2","2",NA,"370000","25000",2020,"Residential","Family","Un-Furnished","300","20","550","4","4","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","2200","1","1","3","125000","12000",2020,"Residential","Family","Furnished","150","50","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","3500","2","2","2","255000","25000",2019,"Residential","Family","Un-Furnished","150","60","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","2250","1","2","7","185000","15000",2020,"Residential","Family","Furnished","150","50","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","3500","2","2","5","250000","25000",2019,"Residential","Family","Un-Furnished","150","60","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","3500","2","1","1","180000",NA,2021,"Residential","Family","Un-Furnished","150","40","150","4","4","Gulshan","Bangladesh"
"Residential Apartment","4200","2","2",NA,"375000","25000",2021,"Residential","Family","Un-Furnished","350","60","480","4","4","Gulshan","Bangladesh"
"Commercial Space","3500","2","2","12 ","560000",NA,2018,"Commercial","Corporate Office or MNC/ Restaurant","Un-Furnished","300","100","800",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","7000","2","2",NA,"700000","50000",2020,"Residential","Family","Un-Furnished","350","60","880","5","5","Gulshan","Bangladesh"
"Residential Apartment","4400","2","2",NA,"250000","25000",2018,"Residential","Family","Un-Furnished","350","60","480","6","5","Gulshan","Bangladesh"
"Residential Apartment","1000","1","3","8","85000","7500",2016,"Residential","Family","Furnished","150","50","150","1","1","Gulshan","Bangladesh"
"Residential Apartment","3100","1","1","1","150000","11000",2005,"Residential","Family","Furnished","150","50","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","2550","1","1","4","100000","7500",2014,"Residential","Family","Furnished","150","25","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","2600","1","2",NA,"85000","8000",2015,"Residential","Family","Furnished","150","25","150","3","4","Banani","Bangladesh"
"Commercial Space","1930","1","1","4 ","70000","7000",2019,"Residential","Corporate Office or Small Office","Un-Furnished","150","20","150",NA,NA,"Banani","Bangladesh"
"Commercial Space","1400","1","2","2 ","308000",NA,2021,"Commercial","Corporate Office or Restaurant","Un-Furnished","150","100","110",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2220","1","1",NA,"50000","7000",2012,"Residential","Family","Un-Furnished","150","25","180","3","3","Gulshan","Bangladesh"
"Commercial Space","3350","2","2","3 ","536000",NA,2017,"Commercial","Corporate Office or MNC Office","Un-Furnished","300","100","350",NA,NA,"Banani","Bangladesh"
"Residential Apartment","2600","1","1","4","160000","7500",2020,"Residential","Family","Furnished","150","25","150","3","3","Gulshan","Bangladesh"
"Residential Apartment","1850","1","1","5","55000","7500",2011,"Residential","Family","Furnished","150","15","150","3","3","Gulshan","Bangladesh"
"Commercial Space","4600","2","3","5 to 8 ","690000",NA,2021,"Commercial","Corporate Office or MNC Office","Un-Furnished","300","100","800",NA,NA,"Gulshan","Bangladesh"
"Residential Apartment","3000","1","1",NA,"90000","10000",2016,"Residential","Family","Un-Furnished","150","25","550","4","4","Gulshan","Bangladesh"
"Residential Apartment","5000","2","2",NA,"300000","10000",2020,"Residential","Family","Furnished","330","15","750","4","5","Banani","Bangladesh"
"Residential Apartment","3370","2","2",NA,"165000",NA,2021,"Residential","Family","Un-Furnished","350","15","550","4","4","Gulshan","Bangladesh"
"Residential Apartment","3500","1","2",NA,"220000","20000",2021,"Residential","Family","Semi-Furnished","150","15","550","4","4","Gulshan","Bangladesh"
"Residential Apartment","2400","1","1",NA,"110000","10000",2018,"Residential","Family","Un-Furnished","150","15","350","3","3","Gulshan","Bangladesh"
"Residential Apartment","3475","2","2",NA,"200000","25000",2020,"Residential","Family","Un-Furnished","300","20","550","3","3","Baridhara Diplomatic Zone","Bangladesh"
"Residential Apartment","3000","1","1",NA,"120000","10000",2021,"Residential","Family","Un-Furnished","150","15","400","4","4","Banani","Bangladesh"
"Residential Apartment","2600","1","1",NA,"75000","10000",2019,"Residential","Family","Un-Furnished","150","15","350","3","3","Gulshan","Bangladesh"
"Residential Apartment","1800","1","1",NA,"60000","8000",2016,"Residential","Family","Un-Furnished","150","15","250","3","3","Gulshan","Bangladesh"
